Booking Date,Booking ID,Country,Hotel,Distribution Channel,Customer Type,Guests,Avg. Lead Time,Revenue,Avg. Daily Rate,Revenue Loss,Nights,Status
2021-01-01,10000,USA,City,Online Travel Agent,Transient-Party,4,2.9,379.24,189.62,0.00,2,Check-Out
2021-01-01,10001,Netherlands,City,Direct,Transient,3,7.1,781.90,156.38,0.00,5,Check-Out
2021-01-01,10002,Italy,City,Direct,Transient,2,3.1,578.46,192.82,0.00,3,Check-Out
2021-01-02,10003,Germany,Resort,Direct,Group,4,4.7,397.92,99.48,0.00,4,Check-Out
2021-01-02,10004,Mexico,Resort,Direct,Transient-Party,3,9.1,164.26,82.13,0.00,2,Check-Out
2021-01-02,10005,Mexico,Resort,Online Travel Agent,Transient-Party,3,8.5,396.08,99.02,0.00,4,Check-Out
2021-01-02,10006,France,Resort,Online Travel Agent,Group,2,8.9,271.08,67.77,0.00,4,Check-Out
2021-01-03,10007,Spain,City,Online Travel Agent,Transient-Party,4,6.2,200.40,50.10,0.00,4,Check-Out
2021-01-03,10008,Italy,City,Direct,Transient-Party,1,5.5,430.96,107.74,0.00,4,Check-Out
2021-01-03,10009,Brazil,Resort,Online Travel Agent,Transient,3,7.6,466.59,155.53,0.00,3,Check-Out
2021-01-04,10010,Italy,City,Direct,Group,3,0.5,335.94,111.98,0.00,3,Check-Out
2021-01-04,10011,Portugal,Resort,Online Travel Agent,Transient,2,4.4,236.84,59.21,0.00,4,Check-Out
2021-01-04,10012,USA,City,Direct,Transient-Party,1,1.9,181.92,181.92,0.00,1,Check-Out
2021-01-05,10013,Italy,Resort,Online Travel Agent,Group,3,1.6,388.84,194.42,0.00,2,Check-Out
2021-01-05,10014,USA,Resort,Direct,Transient-Party,2,8.8,788.60,197.15,0.00,4,Check-Out
2021-01-05,10015,Portugal,Resort,Online Travel Agent,Transient-Party,4,9.1,202.08,67.36,0.00,3,Check-Out
2021-01-05,10016,France,City,Direct,Transient,4,5.7,338.10,112.70,0.00,3,Check-Out
